date,Agricultural Products,Bags and Similar Containers,Ceramic Products Export,Footwear Export,"Pulp, Paper and Paper Products Export",Equipment and Electromechanical Exports,Chemicals Export,Measuring Instruments Export,Apparel and Clothing Accessories,Steel Products,Furniture and Parts,Electrical Equipment,Electrical Appliances,Automobiles and Spare Parts,Others,Refined Oil Products,Plastic Products,Textiles
07/2013,5510731441,2442259783,1622745720,4490378868,1424957409,23300000000.0,3505601281,2060000000,17648607861,4412776714,3878076570,6038027723,8135715206,6044577613,92800000000.0,1714820276,4081121126,9454007721
08/2013,5415602830,2298839050,1544466323,4454499441,1461288982,23900000000.0,3573701589,2030000000,18194185382,4936104652,3548687002,6225260583,8371359415,5951330350,96000000000.0,1997579575,4092261308,9240864159
09/2013,5447476990,2255047479,1642323304,4347691265,1463047283,21500000000.0,3230118500,1980000000,17091919100,4073044088,3469430681,6213664029,8890284489,5644212969,95600000000.0,1837875345,4087034623,8963062780
10/2013,5648713709,2377636804,1909312489,3971784944,1512790388,23400000000.0,3032795420,1910000000,15170641306,4196730142,4132691687,5983530155,9508817354,5388034205,94400000000.0,2101708140,4294719452,8443903238
11/2013,6411094089,2421516775,2028422002,3935778498,1539843592,27700000000.0,3200730852,2140000000,14660271582,4262223532,4622459264,6587593860,9123542902,6031409110,104000000000.0,1772199988,4564689812,9353258658
12/2013,7058094291,2573512917,2193175794,5124136855,1591543952,26900000000.0,3286965521,2150000000,15903589826,4571249443,4958090929,6837160110,8818768601,6096530814,106000000000.0,2252488734,4823143006,9635604405
01/2014,6719236478,2873958323,2201437681,6157864859,1512588829,21500000000.0,3398766716,2260000000,17664251150,5605404628,5310214097,6699381929,8314782330,6561149363,107000000000.0,1978674784,5005785811,10428456726
02/2014,3207446703,1058461504,754024039,2328264696,833063621,16900000000.0,2364403753,1330000000,6464537249,3684008596,2017726538,3924434209,5296677762,3654545895,58800000000.0,1805896117,2233800698,4139310310
03/2014,5499870475,1528947696,1222843321,2992302340,1260253306,21300000000.0,3484821768,1910000000,10071261362,5256383865,3229799884,5898293871,8177747343,5546131033,90100000000.0,2469246694,3674272996,8166588579
04/2014,6041351072,2229456994,1437040735,3907630389,1361014398,21300000000.0,3599385493,2120000000,12847925889,6012682181,3964279932,6758797400,9044844169,6116127247,98900000000.0,1974415608,4488233309,10441620153
05/2014,6099800477,2408678862,1560221778,4308801433,1441337783,22500000000.0,3424155647,2140000000,14175883454,6371976842,4099986373,6878268014,8847286663,6127104646,102000000000.0,2174559030,4544941546,10337033667
06/2014,5851748875,2381511515,1583499953,4790371541,1452486606,21900000000.0,3418928893,2050000000,16005421701,5569393152,3772173216,6409065114,7869913845,5812978961,95200000000.0,2073279587,4110422393,9144397857
07/2014,6031677271,2584416891,2143377942,5808202788,1794948757,24900000000.0,3581620931,2410000000,19759559594,6304229713,4223903881,7235224128,9167653725,6784764742,107000000000.0,2043855770,4695140854,9959201618
08/2014,5822905471,2493584269,2125227898,5662666148,1773587772,23400000000.0,3709409165,2220000000,20058535534,6027469215,4132956856,7209545846,9381397357,6286132420,105000000000.0,2444035822,4642503881,9801560147
09/2014,5881406412,2468649934,2242563851,4916400513,1718492470,22900000000.0,3434141128,2190000000,18337274750,6296093518,4000073636,6892249841,9144732964,6081775801,114000000000.0,1875136849,4586256051,9610123915
10/2014,6159184779,2294091627,1972993408,4103447273,1618232992,25100000000.0,3498548029,2110000000,16403660633,6145920297,4064352410,6748886160,9251882426,5807823163,108000000000.0,2714225578,4360761551,9609757110
11/2014,6823714100,2261276907,2108978273,3959213408,1561796175,26500000000.0,3914973813,2260000000,14453988501,6653290657,4623819387,7009396292,8933268916,5935424762,111000000000.0,2025752557,4467709572,9417888270
12/2014,7153853484,2539981796,2719846495,4901828663,1608961630,26900000000.0,4005072665,2530000000,15506154425,6887030782,5186997174,7794220627,8737351279,6797093004,121000000000.0,2205684990,4976518062,9649712531
01/2015,6275075526,2576438884,2852865512,5473612848,1667843022,19500000000.0,3606346883,2210000000,15375669638,6846502965,5357821191,6750959330,7973021454,6085162191,104000000000.0,1469183580,4905148385,9603174983
02/2015,4928876924,2333584216,2045718496,4412837316,1292909930,16300000000.0,3199838085,1980000000,12874376001,5251964973,4324997188,5857777448,7153603781,5263466676,89400000000.0,1029063515,4095459140,8307685992
03/2015,4505220220,1227034425,1124006186,2183965082,1154521957,19500000000.0,3387799421,1740000000,6471517616,4731419075,2703764717,5191684442,6512477926,4606265683,77200000000.0,1569196640,2815781408,5777424919
04/2015,5560933578,2129761219,1551835887,3373716091,1440666049,18900000000.0,3441597121,2130000000,10106799638,5236456275,3963456434,6431551422,8121819505,5785160362,95200000000.0,1482178707,4233996044,9298910993
05/2015,5807405480,2755503065,1977991901,4316716165,1588749219,20400000000.0,3872882290,2260000000,12958751689,5329876821,4426683977,6764626260,8669287810,6053460932,99000000000.0,1294942466,4542905403,9924790597
06/2015,5617945877,2761292207,2045176123,4924800908,1577523276,21300000000.0,3362413145,2050000000,15466904795,5109899067,4054258499,6598604004,8173240692,5874357254,98000000000.0,1690348953,4475782192,9342346958
07/2015,5500968711,2457363093,2005478298,4948095031,1659637068,21100000000.0,3497173457,2190000000,17265256165,5316383764,3787297711,6646023099,8162729943,5975254068,100000000000.0,1544246781,4424270013,9367730134
08/2015,5562511857,2336020966,2006350644,5051339783,1653326558,21600000000.0,3178763976,2220000000,18568962576,5142230686,3677222210,6788633608,9020475040,5557660232,101000000000.0,1698349017,4593376102,9592242870
09/2015,6058120344,2399966930,2446591657,4310780828,1796809790,22800000000.0,3500848467,2300000000,16714595009,5674030493,3707176132,7219267015,9394226997,5854489536,108000000000.0,1949862766,4579750044,9552392197
10/2015,6076045812,2256155175,2443560014,3570894563,1670807936,22400000000.0,3054087926,2100000000,14070096317,4663745929,3856759546,6555918389,8471726693,5180626453,103000000000.0,1570314885,4305209829,9073272071
11/2015,6483627895,2299864717,2694140589,3538725477,1672641276,24600000000.0,3149429596,2210000000,12974745006,4618244319,4287015199,6701212201,8247518172,5142708711,105000000000.0,1863838810,4548700191,8564147831
12/2015,7760127819,2668576138,2835008201,4990191828,1689769979,26800000000.0,3806937555,2600000000,16609400532,4874814056,5044509776,7584170833,9158988488,5972894165,117000000000.0,1925890357,5094674618,9675884319
01/2016,6196983083,2222728869,1704653406,4560200925,1269753607,16000000000.0,3101393388,1990000000,13683258264,4251647320,4555718253,5990407693,7315139237,4985821307,88400000000.0,1277794926,4198583247,9166933971
02/2016,4168603468,1339885612,863153996,2701078498,936908749,14200000000.0,2239651993,1560000000,8804927082,3451916829,2520721956,4274813711,5429507156,4175924787,63000000000.0,1192697587,2650701470,5882876059
03/2016,5750681148,1457039313,1146242710,2620379828,1289828230,19200000000.0,3175572021,1980000000,8241677260,4183730388,3237112399,5835078586,7370950981,5075035673,81700000000.0,1302442661,3541556352,7647648208
04/2016,5578872403,2183653628,1485280690,3417612707,1351792785,18000000000.0,2963801746,2170000000,10421691389,4222699712,3763539442,6354965783,7989614329,5231048353,88900000000.0,1250473599,4266068035,9379724598
05/2016,6198272789,2378543123,1535154649,3827753476,1500857307,18000000000.0,3206310702,2300000000,12555905865,4684494109,3838327949,6482789819,8131736787,5822175455,92200000000.0,1362506087,4400012910,9889593319
06/2016,5673712230,2312171888,1610352788,4039706979,1476682425,19400000000.0,3094976423,2250000000,14232069668,5535720264,3594500179,6362543149,7713545218,5451507567,91000000000.0,1566762725,4205407359,8899718136
07/2016,6157325270,2116345292,1438269128,4396919642,1559774638,19400000000.0,3115253898,2310000000,15517042543,5300943046,3577138851,6525142463,8187182226,5664933588,92300000000.0,1875757782,4239148656,8869296427
08/2016,6428756024,2045032534,1580690757,4295252547,1694176862,19200000000.0,3225442105,2360000000,17002839960,4832096517,3722413134,7010652796,8858005097,6074973691,97200000000.0,1561964757,4532264397,10048945491
09/2016,5948322746,2062426914,1607894929,3514187372,1596722246,20100000000.0,2656701364,2210000000,14525869073,4708388225,3476804670,6775827608,8720157417,5494399595,96800000000.0,1796843334,4175144556,7560043614
10/2016,6070539449,2001421614,1435416455,3150981352,1596889515,20200000000.0,2748961088,2050000000,12512587606,4179685496,3389560998,6334635255,8201708815,5073629962,94700000000.0,1781086029,4081559858,8466529978
11/2016,7158292496,2143315084,1646391257,3467988446,1642815378,22900000000.0,3062731163,2350000000,12078002056,4540422053,4094093410,7051400265,8825838053,5824975846,103000000000.0,2032092547,4497845194,8864672511
12/2016,7299484841,2661577069,2214122625,4898574393,1809920828,23700000000.0,3362067663,2540000000,13870386203,4596692458,4652292598,7680777512,8567137601,5800307335,111000000000.0,2395431307,5127036018,9055717283
01/2017,6434003863,2435442682,1595786896,4855043444,1356403568,17400000000.0,3058133798,2160000000,13812371173,4542635734,4308553361,6466970162,7511771607,5646400020,95300000000.0,1395255293,4556876930,9446320075
02/2017,3748166348,1007919168,672283678,2064465959,870587934,16400000000.0,2602555129,1530000000,6151381755,3521198632,2115901876,4177951811,5301888250,3836377827,63000000000.0,2057886005,2452297033,4476773602
03/2017,6019050189,1947720624,1351606237,3384330290,1486013658,20400000000.0,3512085612,2390000000,10507993725,5111671784,3935634719,6782776938,8197628892,5594357462,95700000000.0,2321363862,4462153339,8938312006
04/2017,5840907179,2423489646,1584156409,3762004329,1503968423,19600000000.0,3401319297,2390000000,11335490730,4749652312,4035082872,6636725897,8154161335,5715934027,93700000000.0,1721492506,4603617292,9645522461
05/2017,6174290607,2683567540,1747460690,4057967854,1662264528,20000000000.0,3668141956,2470000000,12534393163,5033982587,4260435767,7012898979,8592764918,6219220143,100000000000.0,1931564881,4930327250,10246154409
06/2017,6204915303,2570424582,1677272847,4276400633,1615634533,24200000000.0,3754412465,2580000000,14238899995,4821944171,4030689032,7015048429,8144623853,6182457570,100000000000.0,2012534849,4768608234,9499955384
07/2017,6056401213,2332193406,1731987069,4477383236,1678488709,23900000000.0,3474744297,2490000000,15585724144,4776452763,3684504069,6923515172,8161844163,5956642340,97900000000.0,2120883266,4620687657,9171080142
08/2017,6269764089,2146914903,1711134123,4238386660,1682194314,24700000000.0,3582170900,2560000000,15934603473,4703942940,3647649408,7434769074,8628053689,6287067326,101000000000.0,2110202178,4607575396,9516207671
09/2017,6075526657,2193129931,1675767730,3682836389,1591568242,25100000000.0,3134149057,2440000000,14351200282,3904693472,3609040214,7423218805,9262885884,6057426744,104000000000.0,1754525199,4594919983,8835372213
10/2017,6479322767,1990430659,1551872304,3122920114,1422082835,23600000000.0,3234001373,2310000000,12143571030,3967173835,3593407328,6843532672,8471375822,5808591652,100000000000.0,1893212703,4185010890,9076308832
11/2017,7775729581,2312945846,1858365185,3390464053,1561526165,27400000000.0,3688679036,2650000000,12752374492,4434122998,4333433441,7976210064,9189047271,6428497263,116000000000.0,2880110685,5035509846,9830876711
12/2017,7973493748,2579865818,2152495854,4367896782,1691812637,28200000000.0,4336084716,2830000000,13445396857,4934269415,4715939833,8791998188,9144831576,6780757479,126000000000.0,3262940218,5737284357,10025141158
01/2018,6969705634,2246942058,1788675417,4500497558,1495755281,22500000000.0,3681447046,2390000000,12606658200,4243672776,4548847474,7355401457,8259289933,5950842112,108000000000.0,2223654818,4905327037,9849892133
02/2018,5006807347,1911189741,1328077307,3562358476,1205696543,19800000000.0,3316149225,2160000000,10943835651,4211231340,3618599671,6457017106,7361593488,5690326774,91600000000.0,2065490996,4242096855,8793277748
03/2018,5771309916,1352587447,1116804457,2191353451,1347439805,26500000000.0,4125011203,2290000000,6917503325,4695294769,2937250970,6648936280,7723427795,5667178558,91900000000.0,3831695806,3692746681,6906454989
04/2018,6661615937,2206809967,1667440632,3141299308,1543225238,25000000000.0,4144031708,2560000000,10486066029,5465136880,4036142119,7644161426,8607265609,6544285479,106000000000.0,3015865952,4929311236,10375159522
05/2018,6628524073,2539576936,1847434544,3570375281,1684107288,25900000000.0,4517376838,2710000000,11630795956,5936569771,4417337258,8002726975,8933605874,6848820052,113000000000.0,3699160693,5331198366,11077841625
06/2018,6444978210,2729247281,2015440101,4227634587,1698717446,27100000000.0,4464709321,2830000000,14332741688,5895917933,4406676512,8192593520,8696411665,6903413213,113000000000.0,3010510382,5442002244,10517567882
07/2018,6829287805,2495370955,1900834290,4432016523,1715521630,27400000000.0,4155142477,2730000000,16244571823,5212523255,3986511894,8241022357,8676535256,6899490408,110000000000.0,2886773779,5189460295,9984346399
08/2018,6308916638,2258757073,1875416289,4204450461,1715055615,28200000000.0,4185262447,2730000000,16217395025,5149660819,3980387009,8264247280,9114629206,6802398835,113000000000.0,3401103928,5250170400,10099494497
09/2018,6591081128,2265429938,1725862577,3840160483,1700368974,29600000000.0,4458649024,2800000000,15503738790,5254878568,3976836484,8390944876,9780303029,6689631502,120000000000.0,2578808301,5332812910,10410519619
10/2018,6863140954,2198504480,1870269178,3309413211,1627010924,28900000000.0,4288257259,2540000000,13047432158,4808451811,4014263545,7754214070,9031030231,6158226588,115000000000.0,2682432422,4912775531,9559836416
11/2018,7561670156,2339075139,2070555646,3329023043,1763530624,29400000000.0,4522589902,2790000000,12233982097,4800113405,5002075613,8340495066,9526427492,6510879055,121000000000.0,2931610473,5709943309,10114168274
12/2018,7580087190,2545524308,2358121181,4140759150,1764934001,28100000000.0,4222240628,2870000000,12793203874,4922513637,4811007419,8616851608,8868588590,6494117333,117000000000.0,3556592679,5744233580,9771975132
01/2019,6991383652,2600803978,2357186938,4912082927,1820484982,25300000000.0,4232153405,2720000000,13235717772,5082702658,5153387195,8323612786,9214450453,6540908934,116000000000.0,2952312507,5981723010,11309347713
02/2019,3724116223,1238681251,1257772273,2212094257,1188569231,19700000000.0,3133750832,1820000000,6840611786,3462229840,2449203048,5109464729,5599164557,4290843119,71600000000.0,2113431229,3099795739,5870940789
03/2019,6461709874,1655328684,1492638045,2681262162,1786364790,26700000000.0,4612741556,2750000000,8341695163,4939187471,3795632899,7822864643,8414281184,6402461353,107000000000.0,3966528129,5015879360,9376576892
04/2019,6136579862,2261331735,1844428742,3279645552,1708313434,24800000000.0,3791788326,2570000000,9318559948,4980117223,4173349338,7402477985,8350514047,5828793531,104000000000.0,3638397384,5242123405,9669957902
05/2019,6635225191,2640506213,2018420621,3817192764,1907519837,25200000000.0,4533706307,2930000000,11784259305,4929428473,4576679158,8393100855,9124353775,6650411855,116000000000.0,2685965053,6011807684,11511682493
06/2019,6525204395,2503504082,2084580864,4114920370,1846100517,28100000000.0,4102140296,2940000000,13854337026,4585853838,4140493173,8029015332,8532090145,6643128642,111000000000.0,3150556858,5617222801,10170280809
07/2019,6470372979,2440899361,2143412631,4632708099,2060948197,27900000000.0,4267125534,3030000000,16226950354,4887895706,4138832653,8405945329,9014487508,6942397175,116000000000.0,3208111520,6001110007,10609590161
08/2019,6352198006,2257525511,2289374448,4194283688,2009467942,27200000000.0,3844208433,2930000000,15200626478,4353831398,3955487239,8356031355,9060929796,6370337071,113000000000.0,2396954454,5890538533,9867123085
09/2019,6575652835,2181157890,2197695369,3640415516,1849141508,27200000000.0,3672520243,2900000000,14303007627,4469921243,3727443289,8171338758,8950371358,6504694283,119000000000.0,3285105257,5550519262,9631043212
10/2019,6903184239,2296830119,2285514258,3348225909,1815961049,29500000000.0,3410629788,2790000000,12341378572,4010588453,3908074343,7784535813,8686705915,5981070623,114000000000.0,2945490218,5579718230,10023550875
11/2019,7551505533,2331364635,2429357083,3558370126,1926861400,30200000000.0,3689419406,3030000000,11742981596,3930245505,4436039103,8349115939,8620395450,6028310299,120000000000.0,4142027013,5951182455,9831181543
12/2019,8153366558,2818306389,2719123349,4561847331,2081840268,29500000000.0,3885835065,3330000000,13531382279,4116281426,5371773572,9326203428,8760769789,6871748148,130000000000.0,3951560538,7002928544,10900702509
01/2020,6548399046,2654591363,1823633499,4819296682,1696860587,23500000000.0,3861640404,3130000000,13536482918,3769494434,4912669281,8449988752,8532566853,6805592871,114000000000.0,3106194454,6190644791,11398876641
02/2020,2925547397,451505540,493459940,859331242,661708730,15700000000.0,1862161178,1060000000,2497640152,2331103302,876277549,2941164931,2953404369,2798027929,40552925800.0,3078962772,1445161825,2349511109
03/2020,6729868585,1278000630,1506152063,2071919133,1879791882,25200000000.0,5011673777,2750000000,6501232513,4856426377,3142579528,7196908281,7680235050,5811502107,100000000000.0,3705093632,5219893364,8903246403
04/2020,6479583918,1358350067,1489233327,1857477134,1779403098,30200000000.0,4079079314,3680000000,6733265136,4750678524,3700829420,7932646116,8636476374,5244024038,109000000000.0,3316769894,5833774688,14570429337
05/2020,6350103696,1500314476,1726065222,2081972280,1663056663,31100000000.0,3948949400,4550000000,8898813537,3660292487,3994603946,7853774724,8777933602,4480692386,113000000000.0,1257680169,5990892779,20618706101
06/2020,6052006107,1708398214,2250839300,2938290744,1760240701,29200000000.0,3701036238,4320000000,12829062504,3372634328,4700772679,8174670314,9452530105,4866415400,115000000000.0,1199766850,6585181196,16118309601
07/2020,6427021456,1868319382,2576610146,3555076146,1969111800,32600000000.0,3659112546,4190000000,15297926017,3642450481,5281787571,9279767009,11150626124,5822154164,127000000000.0,1054764153,7357051488,15926850989
08/2020,6218258631,1717981354,2346573705,3441115764,1864217243,31500000000.0,3670749967,3740000000,16191056866,3317480855,5111341510,9180799167,11458244259,6237832114,125000000000.0,1511162091,7247924879,14668312987
09/2020,6605298570,1768993835,2250471271,3339353495,1828723564,33400000000.0,3692413376,3720000000,15209494947,3461307440,5084195820,9584528700,11649819239,6904533746,127000000000.0,1431858842,6939520844,13098093955
10/2020,6594995390,1838595892,2382864266,3157957054,1809702362,32800000000.0,3746142223,3490000000,13179253877,3626580145,5418067037,9178896269,11008512998,6858010261,128000000000.0,2034236974,7039358723,11614908477
11/2020,7467716049,2133657233,3042191021,3235605478,2009270684,35300000000.0,4198422823,4060000000,12513933209,4067765310,6584276791,10038013915,12282818380,7631191554,149000000000.0,1748006764,8114900707,12002714895
12/2020,7548926053,2349573679,3224925348,4076354150,2073774013,38900000000.0,4545644570,4530000000,13905389666,4587924010,7115065627,11229613424,12452704345,7538187730,154000000000.0,2135371155,8580555370,12273458966
01/2021,7023774001,2248201103,2505502618,4337745580,1840492495,33800000000.0,4542703975,3760000000,13480460909,4663731520,6217809392,10844155388,11423299852,8302773889,145000000000.0,2250350816,8082594212,13038600703
02/2021,4726405800,1568195612,1502276348,3159480077,1327114385,26900000000.0,3905931114,3020000000,10450041918,4153165172,4163649168,8443204429,9249219789,7403415114,111000000000.0,2375206051,5688388761,9013532092
03/2021,6320198078,1437331745,1696286435,2480402503,1640889983,34600000000.0,5710185307,3730000000,9149451959,6288983706,4881461375,9857863303,10965732414,7902096344,129000000000.0,3357160751,6621899646,9603679071
04/2021,6614770720,1930065880,2226569353,2897778570,1786584532,33700000000.0,6132279034,3870000000,10927887554,7311786290,5784080118,10634308081,11445988058,8386967126,143000000000.0,3541202042,7727268339,12045664866
05/2021,6861105067,2086522356,2303398604,3344328600,1817416410,32600000000.0,6356959851,3850000000,11996310665,5813496973,5826548073,10503701745,11204931138,8553566029,143000000000.0,2874064502,7845068834,12000007755
06/2021,6781506592,2214275029,2312472990,3849182700,1931122277,35100000000.0,6259214386,4130000000,14480620663,7915858511,5639731985,10995680021,11134086073,9150609757,149000000000.0,3478035658,7922432506,12320272997
07/2021,6661228803,2287866002,2444460637,4228816534,1930548962,37800000000.0,5876865653,4070000000,16054665105,7300434821,5542214167,11247353422,11360128433,8888616397,147000000000.0,2607934292,7777874958,11519160752
08/2021,6980978774,2468730835,2610826929,4617507863,2122825871,38500000000.0,6113215106,4050000000,17310328266,7009699664,5774529445,12377289499,12123262132,10138692142,154000000000.0,2147288609,8489394570,12325985969
09/2021,7384884141,2462218638,2559534520,4253302354,2156914329,40400000000.0,6504496900,4310000000,16447938948,7047023336,5722069042,12319964824,12614431103,9106406432,164000000000.0,2428631050,8535323952,12189898897
