其他农产品,电工器材,其他,电器类产品,成品油,塑料制品,家具及其零件,钢材,服装及衣着附件,自动数据处理设备及其零部件,粮食,集成电路,纺织品,汽车及零配件,手机
3643234000,3416050000,58042421000,5604427000,1204318000,2281451000,2489916000,3933305000,10903488000,10103557000,117138000,1818444000,4895509000,2703632000,0
3009380000,2660263000,47839709000,4423145000,534335000,1589892000,2209036000,2352506000,10286839000,7372045000,134170000,1153056000,4665870000,2144271000,0
2018122000,2099562000,35197832000,3905151000,628952000,868117000,1116589000,1762129000,4009239000,7804532000,141665000,1412162000,2514163000,1376298000,0
2886944000,2825275000,47719839000,5346041000,581494000,1494005000,2112365000,1801911000,7264679000,9607531000,151012000,1686408000,4671928000,2106758000,0
2976557000,2986124000,48849101000,5660889000,813682000,1604176000,1972781000,1575041000,7209397000,9189479000,170055000,1629681000,5068015000,2212260000,0
2915108000,2884955000,47533867000,5702284000,694999000,1572762000,1859805000,1344775000,7254673000,7959403000,139842000,1739142000,4834803000,2321164000,0
3087658000,2943228000,49837418000,5505623000,1111803000,1531710000,1622751000,1355225000,8889655000,10185604000,150104000,1974205000,4866957000,2449769000,0
3152119000,3286006000,54655426000,6103024000,1024493000,1702549000,1855375000,1597291000,10819017000,11137966000,106437000,2000447000,5252022000,2727801000,0
3008424000,3229775000,54430828000,6094754000,1257948000,1644986000,1788870000,1660925000,10302808000,10407050000,101592000,1970021000,5088115000,2720593000,0
3507438000,3674240000,60351683000,7692531000,1185896000,1789776000,1929940000,1990754000,10846985000,11869843000,74893000,2494133000,5583824000,2945632000,0
3184546000,3393456000,56035503000,8056147000,1133775000,1626092000,1939878000,2106677000,9180398000,13731591000,119794000,2232991000,5215573000,2805448000,0
3577293000,3478895000,58358424000,7930861000,1293337000,1727986000,2294737000,2191543000,8430801000,13552759000,149193000,2369625000,5294047000,3003522000,0
4249978000,4222730000,67701489000,7376821000,2288658000,2225091000,2923069000,2533019000,10363049000,14497915000,174540000,2659418000,6147123000,3360759000,0
3667818606,3353080006,56718332969,5539480266,1682149207,1831211346,2474096589,2223895903,9823993625,11251802063,167248266,2282281344,5521223720,2953543297,0
2697518241,2935076876,49691698873,5221649577,1001277301,1559163701,1989347851,1933880741,7897275526,10641073469,121631818,1811265099,4503961826,2458378537,0
3381736417,3673082746,60015350790,6959971074,1715869022,1741343815,2185052105,2568755965,5801056292,13355868454,149882274,2455275640,4954724696,3101470605,0
3578928338,4017437821,63119110517,7005670835,1650166981,2025845881,2524474465,3265499773,7963177215,12653144380,117928058,2387305845,6311737913,3230697353,0
3768639993,4391935217,69583079132,7585134033,1774661108,2272523269,2792508227,3962234346,9245174868,13356306959,125860408,2411304564,6873355950,3518161912,0
3771684940,4435951033,70688342569,7406050759,1431688859,2331262095,2776540443,4712156666,11334302273,15231222830,106002782,2333897930,6987322681,3792675793,0
4026309364,4723493901,76414256424,7740601757,1577699569,2455945107,2719643766,4010904641,13303252299,14846504540,115634790,2543518303,7081948616,3874723488,0
3939608846,4669810838,74674982653,7838817938,1322389192,2308614350,2485750875,2726034082,13135297510,13272821712,79982889,2518186186,6565705400,3697945758,0
4047875043,4788467691,77008385154,8276874605,1276167943,2310609959,2363059324,2843389746,12898542605,15751274770,88410229,2752273495,6701566282,3815888514,0
3900514008,4314503151,71288949763,8159242606,1115143907,2133294174,2392022911,2718193461,11270933984,16194523360,130811040,2527666229,6200165499,3571328252,0
5061776674,4832369799,83274007959,8606078235,1267359386,2511437884,3031487996,2941017955,11713862434,16142438256,167237728,2561473085,6977995766,4190842987,0
5429081454,5100689994,82094498361,7729936126,1213397303,2655548863,3277846448,2910948429,12297696784,17053623029,196842289,2660302609,7286517278,4193635493,0
5464731129,4816670973,82137374167,7001324936,1396052186,2670531996,3375372772,3192080197,13098838096,12326174417,184225436,2626217835,8145159361,4262374411,0
2737190572,3127210285,54157516602,5083150736,1228153961,1429449959,1658126764,2482795710,6260743491,9861587360,94803136,1913024670,3958271569,2689242669,0
4851833286,4887175519,84306236896,7652432024,1941579881,2513800838,2877186337,4738137328,8445591354,14582184513,205036942,2837400879,7787325890,4507702312,0
4930452703,5076602378,84723440572,7553361499,1604202225,2708610499,3139140058,4829201723,10851688098,14426391135,185656870,2552603381,8661035321,4349663905,0
4722885701,5155998331,85562797887,7704419745,2083950996,2751297958,2869278591,4987731849,11457971176,13972745504,181907153,2660319028,8515326396,4424548735,0
4504875438,5167833679,86641393287,7824374651,1804345459,2785100256,2815954661,4635364435,14233524130,15816218570,147835427,2585092446,8246610689,4686536668,0
4857170108,5369426764,93514910864,8003137623,1937392748,3034999177,2957027542,4850417861,16905208707,16993301017,108679359,2808064157,8581586141,5229464663,0
4799304391,5594665261,92086653173,8403829805,1872052718,3106278529,2898820592,4598423635,16660083883,16892065794,106659755,2644031593,8230634455,5345027140,0
4836096422,5558794822,91191996262,8768315820,1861425319,2964246530,2653176163,4502227887,14646684796,16515914799,99454174,2862432400,7815880739,5302880376,0
4692848916,4997473525,84606961463,8323144041,1367265802,2733794100,2654005713,4043227066,11914470683,17162529470,143477987,2460920343,7327762400,4924604501,0
5634917135,5477367051,96349940878,8165902595,1775432027,3476063221,3692190533,4459640190,12071212381,16868935837,204127339,3088171242,7918667301,5203209826,0
6197819492,5557636512,95294512676,7686401294,1894189903,3324111086,3841444838,3932649121,13146012264,16546914735,157418671,3521876072,8185969520,5337091720,0
5215939336,4834566726,81549642962,6571206393,1615558669,2762110958,3301616539,3783484881,13517551447,12028159952,197561141,2001043509,7576071368,4906880591,0
3583272313,3815778153,63867739749,5819233775,1898059314,1720669488,1827136062,3193979986,5291051913,12946578224,124138350,2447506691,4173205799,3700997926,0
4999541693,5649510421,90565132178,8129813535,1899990375,3073482966,3426921279,4746299223,9992691017,16132085183,222297311,3131518363,8387141538,5220738317,0
4778895380,5391349167,89589118177,8164992812,1548812177,3563809152,3812615415,4416474478,10102258687,15022402205,236144293,3037968278,8299612705,5164093956,0
5024134782,5945591136,99563399241,8453999417,1865526052,4278420434,4473342088,5002997373,12289615522,16067994009,167378364,2959922537,9108509984,5832728105,0
4848023689,5689890978,96300362593,7945093835,1844655587,3943914737,4198302487,4977172034,14147224395,17379079341,152712764,4411508027,8290726895,5702819963,0
4779430398,5621240583,95126592290,7469507029,1501504029,4155152486,4163859224,4206322015,15478595673,16136787710,116647777,4615251160,7878182818,5669285780,0
4902162264,5684099398,95587205805,8034137941,1693729858,4053355590,3745263338,4069770424,16137377247,14617114411,122438664,5574075558,7897037356,5768549309,0
5220877641,6102727983,99147165854,8865046821,1728921808,4277084844,3973795203,4553424452,16183176202,15519343115,133206394,6320093396,8389952457,5703310014,0
5073723275,5328221591,92168392530,8526865316,1601801920,3963262997,4045912676,4030526690,14387534777,18120966411,146486280,5172450502,7922771605,5028212991,0
5867264050,5515817225,95353166251,7776302013,1945437872,3461082784,3539470020,4293898689,12567175622,19442800689,191667443,6034536458,8006284373,5346116933,0
6289152736,6281894104,1.05533E+11,8076441205,2165951216,4330175156,5367686474,4212747304,15158871066,19646081137,189678182,7728323370,8475585532,5661954304,0
5777487406,5688473726,1.00022E+11,7026328445,2087213579,3910967940,5137680377,4238275428,15121994531,15974643047,175874537,7532170646,9089616343,5503191944,0
3698406658,4500650989,73552059027,5670975372,1965436349,2828253132,3203196980,3640656081,10312750635,13502814686,172540467,6350168684,5810144266,4093428193,0
5019351648,5848170393,96281598882,7668344719,2383999619,3319018740,3268372337,4490346001,8917386551,16168152876,199707047,15901028060,7389456043,5245265826,0
5443252414,6004316516,97064758982,8942894392,2406501592,4082997178,4224507641,4912057842,12270492031,14838613549,191784212,11749181486,9543746625,5283604789,0
5438232229,6014153933,98616172094,8400123252,2294183025,4422111166,4323728385,4894812370,12860915363,13944685478,214748187,5889334075,9605665132,5761751272,0
5081282517,5603145570,92907138187,7806541026,1691178406,4002252084,3912321609,4584489260,14454825048,14296951024,164716011,5032843140,9119271391,5581757679,0
5355548870,6038027723,97433448605,8135715206,1714820276,4081121126,3878076570,4412776714,17648607861,15019588815,159110756,6541577992,9454007721,6044577613,0
5290852805,6225260583,1.00388E+11,8371359415,1997579575,4092261308,3548687002,4936104652,18194185382,15548618522,129118413,6582212572,9240864159,5951330350,0
5327626911,6213664029,99740232447,8890284489,1837875345,4087034623,3469430681,4073044088,17091919100,14797945753,123811365,5054790326,8963062780,5644212969,0
5523381362,5983530155,98602178689,9508817354,2101708140,4294719452,4132691687,4196730142,15170641306,16568300884,129598079,5257974888,8443903238,5388034205,0
6251868772,6587593860,1.08638E+11,9123542902,1772199988,4564689812,4622459264,4262223532,14660271582,20120372053,163965429,5946802914,9353258658,6031409110,0
6890639693,6837160110,1.11448E+11,8818768601,2252488734,4823143006,4958090929,4571249443,15903589826,19535731231,171731591,5725978228,9635604405,6096530814,0
6548341129,6699381929,1.1285E+11,8314782330,1978674784,5005785811,5310214097,5605404628,17664251150,15868140833,174832083,4028112633,10428456726,6561149363,0
3119534100,3924434209,61811588956,5296677762,1805896117,2233800698,2017726538,3684008596,6464537249,12355971176,90590301,3454422130,4139310310,3654545895,0
