date,commodity,value
2017-12-01,OAP,7789837859.0
2018-01-01,OAP,6785966506.0
2018-02-01,OAP,4888148933.0
2018-03-01,OAP,5637061973.0
2018-04-01,OAP,6461616348.0
2018-05-01,OAP,6490187152.0
2018-06-01,OAP,6308994212.0
2018-07-01,OAP,6669245804.0
2018-08-01,OAP,6176661522.0
2018-09-01,OAP,6463850703.0
2018-10-01,OAP,6717736329.0
2018-11-01,OAP,7362759668.0
2018-12-01,OAP,7338546187.0
2019-01-01,OAP,6862132298.0
2019-02-01,OAP,3625981135.0
2019-03-01,OAP,6292537364.0
2019-04-01,OAP,5916157215.0
2019-05-01,OAP,6420334673.0
2019-06-01,OAP,6320635608.0
2019-07-01,OAP,6253788860.0
2019-08-01,OAP,6177527643.0
2019-09-01,OAP,6440780586.0
2019-10-01,OAP,6705275270.0
2019-11-01,OAP,7365263747.0
2019-12-01,OAP,7942006365.0
2020-01-01,OAP,6434592404.0
2020-02-01,OAP,2848524561.0
2020-03-01,OAP,6516211830.0
2020-04-01,OAP,6289853402.0
2020-05-01,OAP,6143150306.0
2020-06-01,OAP,5861947422.0
2020-07-01,OAP,6275025912.0
2020-08-01,OAP,6128473131.0
2020-09-01,OAP,6496803396.0
2020-10-01,OAP,6460910293.0
2020-11-01,OAP,7350681639.0
2020-12-01,OAP,7415220662.0
2021-01-01,OAP,6875940030.0
2021-02-01,OAP,4619324305.0
2021-03-01,OAP,6159609444.0
2021-04-01,OAP,6476691761.0
2021-05-01,OAP,6708886513.0
2021-06-01,OAP,6629204501.0
2021-07-01,OAP,6542716258.0
2021-08-01,OAP,6881527353.0
2021-09-01,OAP,7306798821.0
2021-10-01,OAP,7369485575.0
2021-11-01,OAP,8281593135.0
2021-12-01,OAP,8709461228.0
2022-01-01,OAP,8905319620.0
2022-02-01,OAP,5046976675.0
2022-03-01,OAP,7535730286.0
2022-04-01,OAP,7810739379.0
2022-05-01,OAP,8620994904.0
2022-06-01,OAP,8212030263.0
2022-07-01,OAP,8384789991.0
2022-08-01,OAP,8142705514.0
2022-09-01,OAP,8041870582.0
2022-10-01,OAP,8086103883.0
2022-11-01,OAP,8590949700.0
2022-12-01,OAP,9018039118.0
2023-01-01,OAP,7642285742.0
2023-02-01,OAP,6679338588.0
2005-01-01,EE,1269928000.0
2005-02-01,EE,1051249000.0
2005-03-01,EE,1546873000.0
2005-04-01,EE,1574404000.0
2005-05-01,EE,1442812000.0
2005-06-01,EE,1598368000.0
2005-07-01,EE,1653773000.0
2005-08-01,EE,1752795000.0
2005-09-01,EE,1819706000.0
2005-10-01,EE,1778930000.0
2005-11-01,EE,2008428000.0
2005-12-01,EE,2061841000.0
2006-01-01,EE,1657476000.0
2006-02-01,EE,1442263000.0
2006-03-01,EE,2050976000.0
2006-04-01,EE,2078765000.0
2006-05-01,EE,1950247000.0
2006-06-01,EE,2131088000.0
2006-07-01,EE,2106162000.0
2006-08-01,EE,2381034000.0
2006-09-01,EE,2444486000.0
2006-10-01,EE,2372175000.0
2006-11-01,EE,2580056000.0
2006-12-01,EE,2552774000.0
2007-01-01,EE,2653849000.0
2007-02-01,EE,2405369000.0
2007-03-01,EE,2485009000.0
2007-04-01,EE,2957003000.0
2007-05-01,EE,2884521000.0
2007-06-01,EE,3048128000.0
2007-07-01,EE,3331037000.0
2007-08-01,EE,3576755000.0
2007-09-01,EE,3676738000.0
2007-10-01,EE,3492348000.0
2007-11-01,EE,3849104000.0
2007-12-01,EE,3756505000.0
2008-01-01,EE,3614600000.0
2008-02-01,EE,2787840000.0
2008-03-01,EE,3691043000.0
2008-04-01,EE,3963296000.0
2008-05-01,EE,4040745000.0
2008-06-01,EE,3946377000.0
2008-07-01,EE,4401696000.0
2008-08-01,EE,4238719000.0
2008-09-01,EE,4425628000.0
2008-10-01,EE,4039665000.0
2008-11-01,EE,3755356000.0
2008-12-01,EE,3416050000.0
2009-01-01,EE,2660263000.0
2009-02-01,EE,2099562000.0
2009-03-01,EE,2825275000.0
2009-04-01,EE,2986124000.0
2009-05-01,EE,2884955000.0
2009-06-01,EE,2943228000.0
2009-07-01,EE,3286006000.0
2009-08-01,EE,3229775000.0
2009-09-01,EE,3674240000.0
2009-10-01,EE,3393456000.0
2009-11-01,EE,3478895000.0
2009-12-01,EE,4222730000.0
2010-01-01,EE,3353080006.0
2010-02-01,EE,2935076876.0
2010-03-01,EE,3673082746.0
2010-04-01,EE,4017437821.0
2010-05-01,EE,4391935217.0
2010-06-01,EE,4435951033.0
2010-07-01,EE,4723493901.0
2010-08-01,EE,4669810838.0
2010-09-01,EE,4788467691.0
2010-10-01,EE,4314503151.0
2010-11-01,EE,4832369799.0
2010-12-01,EE,5100689994.0
2011-01-01,EE,4816670973.0
2011-02-01,EE,3127210285.0
2011-03-01,EE,4887175519.0
2011-04-01,EE,5076602378.0
2011-05-01,EE,5155998331.0
2011-06-01,EE,5167833679.0
2011-07-01,EE,5369426764.0
2011-08-01,EE,5594665261.0
2011-09-01,EE,5558794822.0
2011-10-01,EE,4997473525.0
2011-11-01,EE,5477367051.0
2011-12-01,EE,5557636512.0
2012-01-01,EE,4834566726.0
2012-02-01,EE,3815778153.0
2012-03-01,EE,5649510421.0
2012-04-01,EE,5391349167.0
2012-05-01,EE,5945591136.0
2012-06-01,EE,5689890978.0
2012-07-01,EE,5621240583.0
2012-08-01,EE,5684099398.0
2012-09-01,EE,6102727983.0
2012-10-01,EE,5328221591.0
2012-11-01,EE,5515817225.0
2012-12-01,EE,6281894104.0
2013-01-01,EE,5688473726.0
2013-02-01,EE,4500650989.0
2013-03-01,EE,5848170393.0
2013-04-01,EE,6004316516.0
2013-05-01,EE,6014153933.0
2013-06-01,EE,5603145570.0
2013-07-01,EE,6038027723.0
2013-08-01,EE,6225260583.0
2013-09-01,EE,6213664029.0
2013-10-01,EE,5983530155.0
2013-11-01,EE,6587593860.0
2013-12-01,EE,6837160110.0
2014-01-01,EE,6699381929.0
2014-02-01,EE,3924434209.0
2014-03-01,EE,5898293871.0
2014-04-01,EE,6758797400.0
2014-05-01,EE,6878268014.0
2014-06-01,EE,6409065114.0
2014-07-01,EE,7235224128.0
2014-08-01,EE,7209545846.0
2014-09-01,EE,6892249841.0
2014-10-01,EE,6748886160.0
2014-11-01,EE,7009396292.0
2014-12-01,EE,7794220627.0
2015-01-01,EE,6751080441.0
2015-02-01,EE,5858703406.0
2015-03-01,EE,5191684878.0
2015-04-01,EE,6431555535.0
2015-05-01,EE,6764626260.0
2015-06-01,EE,6598594106.0
2015-07-01,EE,6646023099.0
2015-08-01,EE,6788633608.0
2015-09-01,EE,7219130628.0
2015-10-01,EE,6555918389.0
2015-11-01,EE,6701212201.0
2015-12-01,EE,7584444078.0
2016-01-01,EE,6075272290.0
2016-02-01,EE,4331541457.0
2016-03-01,EE,5884080727.0
2016-04-01,EE,6394490292.0
2016-05-01,EE,6539363137.0
2016-06-01,EE,6362411123.0
2016-07-01,EE,6570135169.0
2016-08-01,EE,7075979124.0
2016-09-01,EE,6776572010.0
2016-10-01,EE,6334554261.0
2016-11-01,EE,7048113739.0
2016-12-01,EE,7680072837.0
2017-01-01,EE,6466970162.0
2017-02-01,EE,4177951811.0
2017-03-01,EE,6782776938.0
2017-04-01,EE,6636725897.0
2017-05-01,EE,7012898979.0
2017-06-01,EE,7015048429.0
2017-07-01,EE,6923515172.0
2017-08-01,EE,7434769074.0
2017-09-01,EE,7423218805.0
2017-10-01,EE,6843532672.0
2017-11-01,EE,7976210064.0
2017-12-01,EE,8791998188.0
2018-01-01,EE,7355401457.0
2018-02-01,EE,6457017106.0
2018-03-01,EE,6648936280.0
2018-04-01,EE,7644161426.0
2018-05-01,EE,8002726975.0
2018-06-01,EE,8192593520.0
2018-07-01,EE,8241022357.0
2018-08-01,EE,8264247280.0
2018-09-01,EE,8390944876.0
2018-10-01,EE,7754214070.0
2018-11-01,EE,8340495066.0
2018-12-01,EE,8616851608.0
2019-01-01,EE,8323612786.0
2019-02-01,EE,5109464729.0
2019-03-01,EE,7822864643.0
2019-04-01,EE,7402477985.0
2019-05-01,EE,8393100855.0
2019-06-01,EE,8029015332.0
2019-07-01,EE,8405945329.0
2019-08-01,EE,8356031355.0
2019-09-01,EE,8171338758.0
2019-10-01,EE,7784535813.0
2019-11-01,EE,8349115939.0
2019-12-01,EE,9326203428.0
2020-01-01,EE,8449988752.0
2020-02-01,EE,2941164931.0
2020-03-01,EE,7196908281.0
2020-04-01,EE,7932646116.0
2020-05-01,EE,7853774724.0
2020-06-01,EE,8174670314.0
2020-07-01,EE,9279767009.0
2020-08-01,EE,9180799167.0
2020-09-01,EE,9584528700.0
2020-10-01,EE,9178896269.0
2020-11-01,EE,10038013915.0
2020-12-01,EE,11229613424.0
2021-01-01,EE,10895560600.0
2021-02-01,EE,8502127561.0
2021-03-01,EE,9927201331.0
2021-04-01,EE,10779975091.0
2021-05-01,EE,10664070295.0
2021-06-01,EE,11169041360.0
2021-07-01,EE,11422512288.0
2021-08-01,EE,12472412641.0
2021-09-01,EE,12421391977.0
2021-10-01,EE,12212072442.0
2021-11-01,EE,13622678059.0
2021-12-01,EE,14593782060.0
2022-01-01,EE,14155883332.0
2022-02-01,EE,9095630808.0
2022-03-01,EE,12066831653.0
2022-04-01,EE,12897470801.0
2022-05-01,EE,14125224683.0
2022-06-01,EE,15273213312.0
2022-07-01,EE,16578588879.0
2022-08-01,EE,16544806664.0
2022-09-01,EE,16564646985.0
2022-10-01,EE,15390069751.0
2022-11-01,EE,16229023502.0
2022-12-01,EE,16677324743.0
2023-01-01,EE,16042749037.0
2023-02-01,EE,12314628537.0
2005-01-01,Other,2426033000.0
2005-02-01,Other,2287386000.0
2005-03-01,Other,3632319000.0
2005-04-01,Other,3554366000.0
2005-05-01,Other,3087188000.0
2005-06-01,Other,3241734000.0
2005-07-01,Other,3251939000.0
2005-08-01,Other,3318380000.0
2005-09-01,Other,3607363000.0
2005-10-01,Other,3811121000.0
2005-11-01,Other,4194010000.0
2005-12-01,Other,4133559000.0
2006-01-01,Other,3407522000.0
2006-02-01,Other,2812827000.0
2006-03-01,Other,4030442000.0
2006-04-01,Other,3959090000.0
2006-05-01,Other,3599320000.0
2006-06-01,Other,3293737000.0
2006-07-01,Other,3185596000.0
2006-08-01,Other,3629159000.0
2006-09-01,Other,4031157000.0
2006-10-01,Other,4365390000.0
2006-11-01,Other,4753794000.0
2006-12-01,Other,3815458000.0
2007-01-01,Other,4722505000.0
2007-02-01,Other,4801008000.0
2007-03-01,Other,5593387000.0
2007-04-01,Other,6225209000.0
2007-05-01,Other,5896773000.0
2007-06-01,Other,5830593000.0
2007-07-01,Other,6020193000.0
2007-08-01,Other,6543543000.0
2007-09-01,Other,7448030000.0
2007-10-01,Other,8241154000.0
2007-11-01,Other,8994989000.0
2007-12-01,Other,7017089000.0
2008-01-01,Other,5943887000.0
2008-02-01,Other,5031286000.0
2008-03-01,Other,6908718000.0
2008-04-01,Other,7271442000.0
2008-05-01,Other,7239491000.0
2008-06-01,Other,6801407000.0
2008-07-01,Other,7177874000.0
2008-08-01,Other,7140512000.0
2008-09-01,Other,8638543000.0
2008-10-01,Other,8607839000.0
2008-11-01,Other,7113119000.0
2008-12-01,Other,5604427000.0
2009-01-01,Other,4423145000.0
2009-02-01,Other,3905151000.0
2009-03-01,Other,5346041000.0
2009-04-01,Other,5660889000.0
2009-05-01,Other,5702284000.0
2009-06-01,Other,5505623000.0
2009-07-01,Other,6103024000.0
2009-08-01,Other,6094754000.0
2009-09-01,Other,7692531000.0
2009-10-01,Other,8056147000.0
2009-11-01,Other,7930861000.0
2009-12-01,Other,7376821000.0
2010-01-01,Other,5539480266.0
2010-02-01,Other,5221649577.0
2010-03-01,Other,6959971074.0
2010-04-01,Other,7005670835.0
2010-05-01,Other,7585134033.0
2010-06-01,Other,7406050759.0
2010-07-01,Other,7740601757.0
2010-08-01,Other,7838817938.0
2010-09-01,Other,8276874605.0
2010-10-01,Other,8159242606.0
2010-11-01,Other,8606078235.0
2010-12-01,Other,7729936126.0
2011-01-01,Other,7001324936.0
2011-02-01,Other,5083150736.0
2011-03-01,Other,7652432024.0
2011-04-01,Other,7553361499.0
2011-05-01,Other,7704419745.0
2011-06-01,Other,7824374651.0
2011-07-01,Other,8003137623.0
2011-08-01,Other,8403829805.0
2011-09-01,Other,8768315820.0
2011-10-01,Other,8323144041.0
2011-11-01,Other,8165902595.0
2011-12-01,Other,7686401294.0
2012-01-01,Other,6571206393.0
2012-02-01,Other,5819233775.0
2012-03-01,Other,8129813535.0
2012-04-01,Other,8164992812.0
2012-05-01,Other,8453999417.0
2012-06-01,Other,7945093835.0
2012-07-01,Other,7469507029.0
2012-08-01,Other,8034137941.0
2012-09-01,Other,8865046821.0
2012-10-01,Other,8526865316.0
2012-11-01,Other,7776302013.0
2012-12-01,Other,8076441205.0
2013-01-01,Other,7026328445.0
2013-02-01,Other,5670975372.0
2013-03-01,Other,7668344719.0
2013-04-01,Other,8942894392.0
2013-05-01,Other,8400123252.0
2013-06-01,Other,7806541026.0
2013-07-01,Other,8135715206.0
2013-08-01,Other,8371359415.0
2013-09-01,Other,8890284489.0
2013-10-01,Other,9508817354.0
2013-11-01,Other,9123542902.0
2013-12-01,Other,8818768601.0
2014-01-01,Other,8314782330.0
2014-02-01,Other,5296677762.0
2014-03-01,Other,8177747343.0
2014-04-01,Other,9044844169.0
2014-05-01,Other,8847286663.0
2014-06-01,Other,7869913845.0
2014-07-01,Other,9167653725.0
2014-08-01,Other,9381397357.0
2014-09-01,Other,9144732964.0
2014-10-01,Other,9251882426.0
2014-11-01,Other,8933268916.0
2014-12-01,Other,8737351279.0
2015-01-01,Other,7973021063.0
2015-02-01,Other,7153603802.0
2015-03-01,Other,6512479426.0
2015-04-01,Other,8121819505.0
2015-05-01,Other,8669287810.0
2015-06-01,Other,8173240692.0
2015-07-01,Other,8162729943.0
2015-08-01,Other,9020475042.0
2015-09-01,Other,9394226999.0
2015-10-01,Other,8471997587.0
2015-11-01,Other,8247518172.0
2015-12-01,Other,9159113312.0
2016-01-01,Other,7350375756.0
2016-02-01,Other,5461364383.0
2016-03-01,Other,7408704264.0
2016-04-01,Other,8030215977.0
2016-05-01,Other,8167375617.0
2016-06-01,Other,7712751497.0
2016-07-01,Other,8219148689.0
2016-08-01,Other,8889977718.0
2016-09-01,Other,8721641956.0
2016-10-01,Other,8201755881.0
2016-11-01,Other,8822835609.0
2016-12-01,Other,8567108965.0
2017-01-01,Other,7511771607.0
2017-02-01,Other,5301888250.0
2017-03-01,Other,8197628892.0
2017-04-01,Other,8154161335.0
2017-05-01,Other,8592764918.0
2017-06-01,Other,8144623853.0
2017-07-01,Other,8161844163.0
2017-08-01,Other,8628053689.0
2017-09-01,Other,9262885884.0
2017-10-01,Other,8471375822.0
2017-11-01,Other,9189047271.0
2017-12-01,Other,9144831576.0
2018-01-01,Other,8259289933.0
2018-02-01,Other,7361593488.0
2018-03-01,Other,7723427795.0
2018-04-01,Other,8607265609.0
2018-05-01,Other,8933605874.0
2018-06-01,Other,8696411665.0
2018-07-01,Other,8676535256.0
2018-08-01,Other,9114629206.0
2018-09-01,Other,9780303029.0
2018-10-01,Other,9031030231.0
2018-11-01,Other,9526427492.0
2018-12-01,Other,8868588590.0
2019-01-01,Other,9214450453.0
2019-02-01,Other,5599164557.0
2019-03-01,Other,8414281184.0
2019-04-01,Other,8350514047.0
2019-05-01,Other,9124353775.0
2019-06-01,Other,8532090145.0
2019-07-01,Other,9014487508.0
2019-08-01,Other,9060929796.0
2019-09-01,Other,8950371358.0
2019-10-01,Other,8686705915.0
2019-11-01,Other,8620395450.0
2019-12-01,Other,8760769789.0
2020-01-01,Other,8532566853.0
2020-02-01,Other,2953404369.0
2020-03-01,Other,7680235050.0
2020-04-01,Other,8636476374.0
2020-05-01,Other,8777933602.0
2020-06-01,Other,9452530105.0
2020-07-01,Other,11150626124.0
2020-08-01,Other,11458244259.0
2020-09-01,Other,11649819239.0
2020-10-01,Other,11008512998.0
